2026-07-10 11:39:20.357 | INFO     | utils.logger:init:128 | 日志系统初始化完成
2026-07-10 11:39:20.357 | INFO     | utils.logger:init:129 | 日志级别: INFO
2026-07-10 11:39:20.357 | INFO     | utils.logger:init:130 | 日志目录: D:\大创\opencv\logs
2026-07-10 11:39:20.357 | INFO     | utils.logger:info:154 | 主控制器初始化完成
2026-07-10 11:39:20.357 | INFO     | utils.logger:info:154 | 启动MicroCleaningVision系统...
2026-07-10 11:39:20.357 | INFO     | utils.logger:info:154 | 开始初始化各个模块...
2026-07-10 11:39:20.362 | ERROR    | utils.logger:error:172 | 模块初始化失败: cannot import name 'CameraCalibrator' from 'camera.calibration' (d:\大创\opencv\MicroCleaningVision\camera\calibration.py)
2026-07-10 11:40:08.738 | INFO     | utils.logger:init:128 | 日志系统初始化完成
2026-07-10 11:40:08.739 | INFO     | utils.logger:init:129 | 日志级别: INFO
2026-07-10 11:40:08.739 | INFO     | utils.logger:init:130 | 日志目录: D:\大创\opencv\logs
2026-07-10 11:40:08.739 | INFO     | utils.logger:info:154 | 主控制器初始化完成
2026-07-10 11:40:08.739 | INFO     | utils.logger:info:154 | 启动MicroCleaningVision系统...
2026-07-10 11:40:08.739 | INFO     | utils.logger:info:154 | 开始初始化各个模块...
2026-07-10 11:40:08.742 | ERROR    | utils.logger:error:172 | 模块初始化失败: cannot import name 'StereoProcessor' from 'camera.stereo' (d:\大创\opencv\MicroCleaningVision\camera\stereo.py)
2026-07-10 11:41:02.135 | INFO     | utils.logger:init:128 | 日志系统初始化完成
2026-07-10 11:41:02.135 | INFO     | utils.logger:init:129 | 日志级别: INFO
2026-07-10 11:41:02.136 | INFO     | utils.logger:init:130 | 日志目录: D:\大创\opencv\logs
2026-07-10 11:41:02.136 | INFO     | utils.logger:info:154 | 主控制器初始化完成
2026-07-10 11:41:02.136 | INFO     | utils.logger:info:154 | 启动MicroCleaningVision系统...
2026-07-10 11:41:02.136 | INFO     | utils.logger:info:154 | 开始初始化各个模块...
2026-07-10 11:41:02.139 | INFO     | utils.logger:info:154 | 相机管理器初始化完成
2026-07-10 11:41:02.139 | INFO     | utils.logger:info:154 | 相机模块初始化成功
2026-07-10 11:41:02.142 | ERROR    | utils.logger:error:172 | 模块初始化失败: cannot import name 'Preprocessor' from 'detection.preprocessing' (d:\大创\opencv\MicroCleaningVision\detection\preprocessing.py)
2026-07-10 11:41:31.478 | INFO     | utils.logger:init:128 | 日志系统初始化完成
